index,ratio,scaled
0,476.009139375,0.309213957212
1,0.0,-1.04602688486
2,293.542074364,-0.210286191799
3,0.0,-1.04602688486
4,361.304308554,-0.0173610151004
5,275.380943639,-0.261992564767
6,466.104854948,0.281015568448
7,0.0,-1.04602688486
8,556.842480399,0.539353750956
9,66.5188470067,-0.856641743325
10,0.0,-1.04602688486
11,195.637288467,-0.489029924861
12,164.077882301,-0.578882393331
13,446.939359268,0.226449678098
14,0.0,-1.04602688486
15,1037.63143331,1.90820315217
16,355.474304286,-0.0339595617242
17,0.0,-1.04602688486
18,619.916683198,0.718931680543
19,605.561476601,0.678061115953
20,237.079184448,-0.37104111885
21,435.930649661,0.195106891494
22,280.24287716,-0.248150202647
23,55.4405677114,-0.888182601092
24,0.0,-1.04602688486
25,680.00483559,0.890008055995
26,218.483722963,-0.423984070564
27,270.203501837,-0.276733207344
28,0.0,-1.04602688486
29,737.898465171,1.05483642758
30,0.0,-1.04602688486
31,579.884950826,0.604957737185
32,0.0,-1.04602688486
33,0.0,-1.04602688486
34,464.476813317,0.276380387465
35,534.351145038,0.47531889584
36,173.842498696,-0.55108165202
37,0.0,-1.04602688486
38,318.942641355,-0.137968492513
39,42.3752754393,-0.925380663558
40,145.758429696,-0.631039522936
41,256.673511294,-0.315254307593
42,88.7573964497,-0.793326592459
43,642.909625276,0.784394655107
44,460.526315789,0.265132965612
45,378.558449425,0.0317630761586
46,0.0,-1.04602688486
47,451.263537906,0.238761003689
48,451.263537906,0.238761003689
49,674.633770239,0.874716149754
50,0.0,-1.04602688486
51,0.0,-1.04602688486
52,0.0,-1.04602688486
53,0.0,-1.04602688486
54,408.719346049,0.117633862153
55,484.120836561,0.332308688835
56,0.0,-1.04602688486
57,652.49813572,0.811694006933
58,0.0,-1.04602688486
59,927.299703264,1.59407879116
60,520.592318371,0.436146278561
61,0.0,-1.04602688486
62,511.695906433,0.410817393442
63,472.054380665,0.297954403388
64,651.49409312,0.808835407328
65,261.267145656,-0.302175817314
66,0.0,-1.04602688486
67,0.0,-1.04602688486
68,2606.42919201,6.37471150181
69,0.0,-1.04602688486
70,232.82887078,-0.383142144224
71,397.185655924,0.0847964087841
72,470.278404816,0.292898040377
73,703.942075623,0.958159531789
74,80.7428340735,-0.816144772542
75,93.5453695042,-0.779694802441
76,48.111618956,-0.909048777519
77,0.0,-1.04602688486
78,0.0,-1.04602688486
79,569.216757741,0.574584431752
80,935.940099834,1.61867877749
81,150.300601202,-0.618107552038
82,0.0,-1.04602688486
83,0.0,-1.04602688486
84,0.0,-1.04602688486
85,314.949608063,-0.149337017515
86,259.74025974,-0.306522998878
87,590.635738832,0.635566197789
88,884.732052578,1.47288486023
89,132.802124834,-0.66792728844
90,505.39083558,0.392866289512
91,765.786993402,1.13423757634
92,3015.07537688,7.53816395238
93,500.0,0.377518095652
94,562.894025818,0.556583045167
95,0.0,-1.04602688486
96,900.720576461,1.51840562607
97,0.0,-1.04602688486
98,105.152471083,-0.74664834006
99,0.0,-1.04602688486
100,120.192307692,-0.703828572234
101,0.0,-1.04602688486
102,1172.20801364,2.291354783
103,0.0,-1.04602688486
104,631.738544474,0.752589583104
105,205.128205128,-0.462008431315
106,306.748466258,-0.172686406017
107,0.0,-1.04602688486
108,337.552742616,-0.0849838600405
109,383.435582822,0.0456487136931
110,61.9322873658,-0.869700091235
111,412.995594714,0.129808726797
112,0.0,-1.04602688486
113,977.410947003,1.73675001014
114,181.488203267,-0.529313643293
115,0.0,-1.04602688486
116,620.655412115,0.721034908228
117,301.043617875,-0.188928622575
118,281.690140845,-0.244029712739
119,101.368474404,-0.757421719016
120,444.839857651,0.220472208123
121,455.87162655,0.251880646607
122,185.356811863,-0.518299366596
123,277.520814061,-0.25590016117
124,476.37195122,0.310246915171
125,412.371134021,0.128030831027
126,0.0,-1.04602688486
127,528.764805415,0.459414084379
128,287.073490814,-0.228702831087
129,673.076923077,0.870283665828
130,465.470548409,0.279209640668
131,211.291413117,-0.444461223722
132,139.227288549,-0.64963426933
133,776.397515528,1.16444668736
134,0.0,-1.04602688486
135,771.076079507,1.14929608029
136,642.123287671,0.782155881208
137,525.210084034,0.449293472821
138,0.0,-1.04602688486
139,878.378378378,1.4547953782
140,638.406537283,0.77157395849
141,65.9050966608,-0.858389145774
142,314.712824548,-0.150011161484
143,442.634560907,0.2141935299
144,551.632833186,0.524521416676
145,467.664350615,0.285455592904
146,546.806649169,0.51078083661
147,0.0,-1.04602688486
148,0.0,-1.04602688486
149,590.179414542,0.634267001485
150,112.930547713,-0.72450345617
151,0.0,-1.04602688486
152,389.408099688,0.0626530065054
153,590.900137877,0.636318965656
154,69.7999069335,-0.847300270546
155,723.140495868,1.01281916133
156,1070.28184088,2.00116179979
157,1139.81762918,2.19913644457
158,507.305194805,0.398316642445
159,575.263662512,0.59180051362
160,479.386385427,0.31882928054
161,24.8591315877,-0.975250700874
162,326.797385621,-0.115605328968
163,469.826686156,0.291611956716
164,908.723747981,1.54119137536
165,340.785169029,-0.0757808512492
166,751.718213058,1.09418249306
167,0.0,-1.04602688486
168,0.0,-1.04602688486
169,0.0,-1.04602688486
170,0.0,-1.04602688486
171,0.0,-1.04602688486
172,0.0,-1.04602688486
173,745.341614907,1.07602774447
174,446.656457376,0.225644230963
175,933.908045977,1.61289333736
176,422.614575507,0.15719483045
177,0.0,-1.04602688486
178,0.0,-1.04602688486
179,0.0,-1.04602688486
180,226.039783002,-0.402471287882
181,0.0,-1.04602688486
182,0.0,-1.04602688486
183,681.322674419,0.893760061694
